r_Angstrom,g11_Direct,g11_Window,g12_Direct,g12_Window,g22_Direct,g22_Window
23.5,0.936205035906657,0.9860246133794323,0.9367350348910183,0.9984960543145929,0.9384009614435258,0.9894232572959976
23.6,0.9368720858720343,0.9956528519407501,0.9359694181333862,0.9900172589215072,0.9396413578902735,0.9977393864462345
23.700000000000003,0.9385156940056011,0.9916763810078055,0.9380493887582598,0.9939073353048752,0.9379322650160901,0.9964427423250342
23.8,0.9371450513580614,0.992752898810786,0.9399385228462506,0.9928001900816479,0.9419979255509954,0.9906506142703491
23.900000000000002,0.9401797983738504,0.9975866824276456,0.9401549556978199,0.986441309971419,0.9412375969543476,1.0008159735089899
24.0,0.9399077154184633,0.9894015344895875,0.941172880556668,0.997658463677255,0.9419490424722929,0.9913067032487023
24.1,0.9418214397684306,0.9968262811145066,0.9419888314451227,0.9912581895464441,0.9432562041254807,0.9965770638376641
24.200000000000003,0.941617909741117,0.9990540706961376,0.943363754897006,1.0085322782001018,0.9434643341045571,0.9991580844901237
24.3,0.9436939063210765,1.0019241541299153,0.9425852189436635,0.9940923704722431,0.9428621735918156,0.9989966196521367
24.400000000000002,0.9447029531685474,1.0002686068233488,0.9416183701588705,1.0059698752315531,0.946878539024147,1.000062409013184
24.5,0.9452467678887708,0.9930703185434907,0.9446755631006258,0.9941421709524161,0.9446441352177312,1.0001809407384257
24.6,0.94585778460263,1.0020652948429123,0.9452383095962893,1.0001558395841683,0.9456905917951535,1.0013540233433254
24.700000000000003,0.946743051949406,0.9994185619850338,0.9458617101912259,0.9935767210866143,0.9480696410518282,0.9911387266388545
24.8,0.9465015792040959,1.0035918671488206,0.9470749240430494,1.0003215609448821,0.9480127420057345,0.9905929666181267
24.900000000000002,0.9466650362495395,1.0008224738447957,0.9477541602917513,1.0093956672819135,0.9488026072925794,1.0004107166952372
25.0,0.9473736353567098,1.0104840434647056,0.9483491039012646,1.0065879448504509,0.9505774193007178,1.003263448140593
25.1,0.9480058690586575,1.0055369837364796,0.9492028772257709,0.9911367229317558,0.9511200399702027,0.9969569248498521
25.200000000000003,0.9509983702323707,1.0090268915964482,0.9489586265076786,1.0013428531047248,0.9503406961402625,1.0008067186471346
25.3,0.9489255413304732,0.9894348748034276,0.9490871214804572,1.0022795433557183,0.9530205138720383,0.9998254866118186
25.400000000000002,0.9502898627397628,1.0070073697377793,0.9509676248989493,1.0061499544250203,0.9519497961603208,1.0035297785693744
25.5,0.9507153613479719,1.0032728409629221,0.9511549712427353,0.9968656646095408,0.9539422406569562,0.995977815665621
25.6,0.9519109509416455,1.0150244864326834,0.9526169548488979,1.0083017293030945,0.9525696448388382,1.0039481477021812
25.700000000000003,0.9518411760122126,1.0003966409381249,0.952111894965645,1.0060840765756276,0.9539774912490557,1.0064062720753744
25.8,0.951707504020023,1.0038959971152015,0.951896689816616,1.0063214331390498,0.9534998598611005,1.0140135003507555
25.900000000000002,0.9542679066288728,1.0011755549043406,0.9553657918537317,1.009256448412926,0.9553775231761124,1.0093122884197547
26.0,0.9545711092755693,1.0041045483347464,0.954551315622725,1.0075970876670277,0.956402412634434,1.0094198903809843
26.1,0.9552346843631397,0.992496310793451,0.9548870980027915,1.0020289211068105,0.956574974943307,1.0028011485490915
26.200000000000003,0.955037350217185,1.0087699105326389,0.955001558341174,0.9965118190408178,0.9579508925042322,1.004960030066469
26.3,0.9554022762499461,1.0127881519847999,0.9556903754502942,1.0053903968273676,0.9558820588514773,1.0068888086168577
26.400000000000002,0.9560568802450559,1.0075901487415733,0.9552596224039012,1.0104649482903358,0.9582763260093856,1.0077881824011306
26.5,0.9576300328396884,1.008689875186955,0.9572202820967277,1.0091602345878972,0.9584002009939877,1.0170390922653358
26.6,0.9566376738865283,1.0115048157486897,0.9569071555586293,1.0242192197096216,0.9587069348683508,1.0059288749720843
26.700000000000003,0.9575904563627786,1.0156819177407264,0.9586223909388617,1.0099459813232317,0.9594935523304473,1.0089333004735819
26.8,0.9581605700544272,1.0084615088000977,0.9571024239520743,1.0149597349758177,0.9588092958242591,1.0135412758143976
26.900000000000002,0.9572551821293535,1.015597268076529,0.958336390461691,1.0142374712924287,0.9599080272285154,1.003882151588888
27.0,0.9598988863880225,1.0198118755734125,0.9588616045223599,1.0150886330084474,0.9604573103900067,1.0035405463909741
27.1,0.9596727292695615,1.0051998826984603,0.959475260386693,1.0134183943951702,0.9595695180851819,1.0083012410642365
27.200000000000003,0.9583398529048746,1.0135856384347737,0.9607563722145542,1.0132481228323917,0.9607191038656709,1.0060312958791504
27.3,0.9600986321703513,1.0091107818658063,0.9615542801883258,1.0187599944724341,0.96332052553146,1.0093596921100592
27.400000000000002,0.9601121207692767,1.0096558987542321,0.9601031144494143,1.0160742215709304,0.961051483948188,1.0112747688929828
27.5,0.9608381920389785,1.015239620428423,0.9611480228617908,1.009427709084274,0.961939845287571,0.9966741013024538
27.6,0.9614313501754788,1.0115608120742214,0.9604238576297132,1.0091006077914118,0.9623901994673212,1.013803629946746
27.700000000000003,0.9630499036534756,1.0128446214884583,0.9598548815697558,1.0031062771859525,0.9633936917448725,1.0187868464426233
27.8,0.9614606972023095,1.009687641598101,0.96158684025127,1.0102024065189077,0.9622941658235763,1.009788402870914
27.900000000000002,0.9614563086176865,1.0242148236616249,0.9625244570634528,1.0189489618675802,0.9634620819964927,1.025752871166634
28.0,0.9643624317780957,1.0054913893334625,0.9624447581112915,1.0200234679396925,0.9660786435765679,1.0187796817358896
28.1,0.9650629642560534,1.0239351804512167,0.9632708356700903,1.0135807038670963,0.9644078273320479,1.0198190838788863
28.200000000000003,0.9649772804933667,1.009710960950191,0.964941151321532,1.0200269295157367,0.965962471292403,1.0157362032901844
28.3,0.9643037380793438,1.0250250157056409,0.9647949994326576,1.01104511022003,0.9665243970931591,1.0221557182916106
28.400000000000002,0.9639463062974101,1.0087819899037411,0.9650196515572762,1.017568417552616,0.966862460094583,1.012918554855239
28.5,0.9643934032030685,1.0156332241119264,0.9647707736490839,1.0167781434585588,0.9664456600578566,1.022025857811949
28.6,0.9641879726767392,1.0209026937386223,0.9658169932930524,1.015610613325199,0.9677877462811106,1.010761937051633
28.700000000000003,0.9666414389322304,1.0169342305564386,0.9671411510391048,1.0235794111778855,0.9653656754538509,1.0234016588154657
28.8,0.9660891333491396,1.021241376766592,0.9657431422044093,1.0128162649069647,0.9675770291948015,1.018347488311904
28.900000000000002,0.967341152989155,1.0164067455416412,0.9660287849662229,1.0247080324045663,0.9684400073835838,1.015841216894169
29.0,0.9671865987409888,1.0154682199058989,0.967088604640465,1.0251162086326249,0.9669260699278385,1.023322633300881
29.1,0.9654123256084793,1.0143047640361575,0.9675751030213166,1.0257781414854295,0.9689675470419279,1.0137126314217095
29.200000000000003,0.9659515477909547,1.0228426644845532,0.9685275231860386,1.013591303883121,0.9694256946234687,1.0139205365253345
29.3,0.9668536445020043,1.0211869476649837,0.9670503996987193,1.0204974947811558,0.9694316882536066,1.0211995036764785
29.400000000000002,0.9669012837991529,1.0167773728965286,0.9676490103760119,1.025737485859016,0.9683535026339777,1.0200538406100836
29.5,0.9693389173619532,1.0258986363081668,0.9689380440288718,1.0167691333044626,0.9689534260036471,1.0075286227065023
29.6,0.9675810724013385,1.0201180832013659,0.96944231042898,1.025901226586111,0.9704183173378544,1.018431132136976
29.700000000000003,0.9696672545120799,1.0268602197947896,0.9698541009300718,1.0184414172756788,0.9693047696638311,1.016188742929302
29.8,0.9707650545661244,1.0244290985870106,0.967562806255712,1.0228925781170937,0.9707422552091267,1.024137294685822
29.900000000000002,0.9695351042612437,1.026398514166907,0.9685576825539283,1.0205133158896793,0.969616694780438,1.0237651840381017
30.0,0.969670140107996,1.0117079915379243,0.9680430594960439,1.0230790520343298,0.9719195462017768,1.0236975261064754
30.1,0.9691767602843923,1.0250203576305332,0.968980786802344,1.0179033165190694,0.9730421431690267,1.0210861789028667
30.200000000000003,0.9714146851619244,1.0305835743232539,0.9698784300232165,1.019178436235905,0.9710245063406742,1.0344147749110804
30.3,0.9695621678392019,1.027781203118969,0.9696475092525526,1.0296761675195032,0.9714937758703788,1.0206656019093678
30.400000000000002,0.9711807390634317,1.0254064689167097,0.969703530769719,1.01899175723763,0.9722724749202899,1.0276770132555877
30.5,0.9701378077613882,1.022108100768486,0.9706398538874996,1.0280193246243932,0.9714007745111687,1.0193937749204764
30.6,0.9718641007440051,1.0377494720806584,0.9700527619126122,1.027880187953405,0.9724778580368985,1.0298061053753258
30.700000000000003,0.9731622095037508,1.028232059104743,0.9710238433200471,1.032024592944166,0.9741418662372037,1.0188335905293096
30.8,0.970747523461325,1.019835166004924,0.9724859430772129,1.023536219212572,0.9731868605768946,1.0229386071683384
30.900000000000002,0.9697895281273523,1.0294378797050503,0.9717843851519485,1.0359021056291062,0.9720576220443756,1.0220632283763285
